Name_prod;Cost;skld13;skld89;skld99
"Apple iPad 4 16Gb Wi-Fi + Cellular MD522TU/A";"0";"0";"0";"0"
"Apple iPad 4 16Gb Wi-Fi MD510TU/A";"0";"0";"0";"0"
"Apple iPad 4 32Gb Wi-Fi + Cellular MD523TU/A";"0";"0";"0";"0"
"Apple iPad 4 32Gb Wi-Fi + Cellular MD526TU/A";"0";"0";"0";"0"
"Apple iPad 4 32Gb Wi-Fi MD511TU/A";"0";"0";"0";"0"
"Apple iPad 4 32Gb WiFi MD514TU/A";"0";"0";"0";"0"
"Apple iPad 4 64Gb WiFi MD512TU/A";"0";"0";"0";"0"
"Apple iPad Mini 16Gb Wi-Fi + Cellular MD543TU/A";"0";"0";"0";"0"
"Apple iPad Mini 64Gb Wi-Fi + Cellular MD542TU/A";"0";"0";"0";"0"
"Apple iPad Mini 64Gb Wi-Fi + Cellular MD545TU/A";"0";"0";"0";"0"
"Apple iPad new 64Gb WiFi MC707RS/A";"0";"0";"0";"0"
"Asus Eee Pad Slider SL101 32GB 90OK05B1102070Y";"0";"0";"0";"0"
"Asus Eee Pad Transformer TF101G 16Gb 3G 90OK0CT1100420Y";"0";"0";"0";"0"
"Asus Transformer Pad TF300T 32Gb dock 90OK0GB1103070W";"0";"0";"0";"0"
"Asus Transformer Pad TF300TG 16Gb 3G 90OK0JB3105180W";"0";"0";"0";"0"
"Asus Transformer Pad TF300TG 32Gb 3G 90OK0JB4102710W";"0";"0";"0";"0"
